,Name,Affiliation,Species,Sex,Note,Image
5cf1d0db3cfbe0fcbb6c4c93,Abul-Abbas,Charlemagne,Asian,Male,An elephant given to Carolingian emperor Charlemagne by the Abbasid caliph Harun al-Rashid.,https://elephant-api.herokuapp.com/pictures/001.jpg
5cf1d0db8c4845fb358b91d6,Arjuna,Dasara,Asian,Male,A lead elephant of the world-famous Mysore Dasara procession.,https://elephant-api.herokuapp.com/pictures/002.jpg
5cf1d0dbcd5e98f2540c4d1c,Balarama,Dasara,Asian,Male,A lead elephant of the world-famous Mysore Dasara procession.,https://elephant-api.herokuapp.com/pictures/missing.jpg
5cf1d0dbe1b30267706da101,Black Diamond,Al G. Barnes Circus,Asian,Male,Believed to be the largest Indian elephant in captivity.,https://elephant-api.herokuapp.com/pictures/005.jpg
5cf1d0db39d971a8ca87f8b1,Batyr,Karaganda Zoo,Asian,Male,"An elephant claimed to be able to use a large amount of meaningful human speech, reported as having a vocabulary of more than 20 phrases.",https://elephant-api.herokuapp.com/pictures/004.jpg
5cf1d0db0574158b7a1c34f5,Chunee,Exeter Exchange,Asian,Male,"An elephant in the menagerie at Exeter Exchange, executed by soldiers from Somerset House in March 1826.",https://elephant-api.herokuapp.com/pictures/007.jpg
5cf1d0dbb3ae234b17062563,Chengalloor Ranganathan,Arattupuzha Pooram,Asian,Male,Considered the tallest Asian thatever lived. He was killed by another elephant during Arattupuzha Festival in 1927. The century-old skeleton of this elephant is exhibited in the Thrissur Museum in the Main Entrance hall.,https://elephant-api.herokuapp.com/pictures/missing.jpg
5cf1d1adc46fd30ceb78ea71,The Cremona Elephant,Holy Roman Emperor Frederick II,Unavailable,Unavailable,"A gift presented to Holy Roman Emperor Frederick II by Sultan of Egypt Al-Kamil, in 1229. Frederick used the elephant in his triumph parades.",https://elephant-api.herokuapp.com/pictures/008.jpg
5cf1d1ad31795d2421418824,Hanno,King Manuel I of Portugal,Asian,Male,The pet white elephant given by King Manuel I of Portugal to Pope Leo X at his coronation.,https://elephant-api.herokuapp.com/pictures/012.jpg
5cf1d1adc6d79601c0fa1286,Fanny,"Slater Park Zoo, Rhode Island",Asian,Female,A female elephant who spent the majority of her life in a small zoo.,https://elephant-api.herokuapp.com/pictures/011.jpg
