,Source,Year,Mean
0,GCAG,2016,0.9363
1,GISTEMP,2016,0.99
2,GCAG,2015,0.8998
3,GISTEMP,2015,0.87
4,GCAG,2014,0.7408
5,GISTEMP,2014,0.74
6,GCAG,2013,0.6679
7,GISTEMP,2013,0.65
8,GCAG,2012,0.624
9,GISTEMP,2012,0.63
10,GCAG,2011,0.5788
11,GISTEMP,2011,0.6
12,GCAG,2010,0.7014
13,GISTEMP,2010,0.71
14,GCAG,2009,0.6367
15,GISTEMP,2009,0.64
16,GCAG,2008,0.5419
17,GISTEMP,2008,0.54
18,GCAG,2007,0.61
19,GISTEMP,2007,0.66
20,GCAG,2006,0.6125
21,GISTEMP,2006,0.63
22,GCAG,2005,0.6585
23,GISTEMP,2005,0.69
24,GCAG,2004,0.5783
25,GISTEMP,2004,0.55
26,GCAG,2003,0.6134
27,GISTEMP,2003,0.62
28,GCAG,2002,0.6023
29,GISTEMP,2002,0.63
30,GCAG,2001,0.5473
31,GISTEMP,2001,0.55
32,GCAG,2000,0.4262
33,GISTEMP,2000,0.42
34,GCAG,1999,0.4438
35,GISTEMP,1999,0.42
36,GCAG,1998,0.6344
37,GISTEMP,1998,0.64
38,GCAG,1997,0.5187
39,GISTEMP,1997,0.48
40,GCAG,1996,0.3228
41,GISTEMP,1996,0.35
42,GCAG,1995,0.4577
43,GISTEMP,1995,0.46
44,GCAG,1994,0.3409
45,GISTEMP,1994,0.32
46,GCAG,1993,0.2853
47,GISTEMP,1993,0.24
48,GCAG,1992,0.2571
49,GISTEMP,1992,0.23
50,GCAG,1991,0.4055
51,GISTEMP,1991,0.43
52,GCAG,1990,0.4328
53,GISTEMP,1990,0.44
54,GCAG,1989,0.297
55,GISTEMP,1989,0.29
56,GCAG,1988,0.3757
57,GISTEMP,1988,0.41
58,GCAG,1987,0.3696
59,GISTEMP,1987,0.33
60,GCAG,1986,0.2296
61,GISTEMP,1986,0.19
62,GCAG,1985,0.1342
63,GISTEMP,1985,0.12
64,GCAG,1984,0.149
65,GISTEMP,1984,0.15
66,GCAG,1983,0.3411
67,GISTEMP,1983,0.3
68,GCAG,1982,0.1815
69,GISTEMP,1982,0.13
70,GCAG,1981,0.2999
71,GISTEMP,1981,0.33
72,GCAG,1980,0.2637
73,GISTEMP,1980,0.27
74,GCAG,1979,0.2273
75,GISTEMP,1979,0.17
76,GCAG,1978,0.1123
77,GISTEMP,1978,0.07
78,GCAG,1977,0.1978
79,GISTEMP,1977,0.18
80,GCAG,1976,-0.0792
81,GISTEMP,1976,-0.11
82,GCAG,1975,0.0034
83,GISTEMP,1975,-0.02
84,GCAG,1974,-0.0719
85,GISTEMP,1974,-0.07
86,GCAG,1973,0.1641
87,GISTEMP,1973,0.15
88,GCAG,1972,0.0264
89,GISTEMP,1972,0.01
90,GCAG,1971,-0.0783
91,GISTEMP,1971,-0.09
92,GCAG,1970,0.0372
93,GISTEMP,1970,0.02
94,GCAG,1969,0.0929
95,GISTEMP,1969,0.07
96,GCAG,1968,-0.0296
97,GISTEMP,1968,-0.07
98,GCAG,1967,-0.0131
99,GISTEMP,1967,-0.02
100,GCAG,1966,-0.0227
101,GISTEMP,1966,-0.05
102,GCAG,1965,-0.078
103,GISTEMP,1965,-0.1
104,GCAG,1964,-0.1495
105,GISTEMP,1964,-0.2
106,GCAG,1963,0.1068
107,GISTEMP,1963,0.06
108,GCAG,1962,0.0888
109,GISTEMP,1962,0.03
110,GCAG,1961,0.0775
111,GISTEMP,1961,0.05
112,GCAG,1960,0.0204
113,GISTEMP,1960,-0.02
114,GCAG,1959,0.0596
115,GISTEMP,1959,0.03
116,GCAG,1958,0.1095
117,GISTEMP,1958,0.07
118,GCAG,1957,0.0488
119,GISTEMP,1957,0.04
120,GCAG,1956,-0.199
121,GISTEMP,1956,-0.2
122,GCAG,1955,-0.1354
123,GISTEMP,1955,-0.15
124,GCAG,1954,-0.1165
125,GISTEMP,1954,-0.13
126,GCAG,1953,0.0952
127,GISTEMP,1953,0.08
128,GCAG,1952,0.0248
129,GISTEMP,1952,0.01
130,GCAG,1951,-0.0132
131,GISTEMP,1951,-0.07
132,GCAG,1950,-0.1616
133,GISTEMP,1950,-0.18
134,GCAG,1949,-0.0568
135,GISTEMP,1949,-0.09
136,GCAG,1948,-0.0487
137,GISTEMP,1948,-0.09
138,GCAG,1947,-0.0477
139,GISTEMP,1947,-0.05
140,GCAG,1946,-0.004
141,GISTEMP,1946,-0.04
142,GCAG,1945,0.171
143,GISTEMP,1945,0.12
144,GCAG,1944,0.2928
145,GISTEMP,1944,0.25
146,GCAG,1943,0.157
147,GISTEMP,1943,0.13
148,GCAG,1942,0.1538
149,GISTEMP,1942,0.09
150,GCAG,1941,0.196
151,GISTEMP,1941,0.12
152,GCAG,1940,0.0947
153,GISTEMP,1940,0.08
154,GCAG,1939,-0.0139
155,GISTEMP,1939,-0.03
156,GCAG,1938,-0.0288
157,GISTEMP,1938,-0.03
158,GCAG,1937,-0.0157
159,GISTEMP,1937,-0.03
160,GCAG,1936,-0.1134
161,GISTEMP,1936,-0.15
162,GCAG,1935,-0.1392
163,GISTEMP,1935,-0.2
164,GCAG,1934,-0.1015
165,GISTEMP,1934,-0.14
166,GCAG,1933,-0.2439
167,GISTEMP,1933,-0.29
168,GCAG,1932,-0.1168
169,GISTEMP,1932,-0.17
170,GCAG,1931,-0.0686
171,GISTEMP,1931,-0.09
172,GCAG,1930,-0.1003
173,GISTEMP,1930,-0.15
174,GCAG,1929,-0.2985
175,GISTEMP,1929,-0.36
176,GCAG,1928,-0.1774
177,GISTEMP,1928,-0.21
178,GCAG,1927,-0.1546
179,GISTEMP,1927,-0.21
180,GCAG,1926,-0.0667
181,GISTEMP,1926,-0.1
182,GCAG,1925,-0.1481
183,GISTEMP,1925,-0.21
184,GCAG,1924,-0.2486
185,GISTEMP,1924,-0.28
186,GCAG,1923,-0.2156
187,GISTEMP,1923,-0.24
188,GCAG,1922,-0.2304
189,GISTEMP,1922,-0.28
190,GCAG,1921,-0.1485
191,GISTEMP,1921,-0.21
192,GCAG,1920,-0.2105
193,GISTEMP,1920,-0.27
194,GCAG,1919,-0.2055
195,GISTEMP,1919,-0.22
196,GCAG,1918,-0.2084
197,GISTEMP,1918,-0.26
198,GCAG,1917,-0.3146
199,GISTEMP,1917,-0.4
200,GCAG,1916,-0.293
201,GISTEMP,1916,-0.34
202,GCAG,1915,-0.0693
203,GISTEMP,1915,-0.11
204,GCAG,1914,-0.1395
205,GISTEMP,1914,-0.16
206,GCAG,1913,-0.3162
207,GISTEMP,1913,-0.34
208,GCAG,1912,-0.3288
209,GISTEMP,1912,-0.35
210,GCAG,1911,-0.4332
211,GISTEMP,1911,-0.44
212,GCAG,1910,-0.3789
213,GISTEMP,1910,-0.42
214,GCAG,1909,-0.4261
215,GISTEMP,1909,-0.47
216,GCAG,1908,-0.4396
217,GISTEMP,1908,-0.43
218,GCAG,1907,-0.3706
219,GISTEMP,1907,-0.4
220,GCAG,1906,-0.2174
221,GISTEMP,1906,-0.23
222,GCAG,1905,-0.2931
223,GISTEMP,1905,-0.28
224,GCAG,1904,-0.4194
225,GISTEMP,1904,-0.44
226,GCAG,1903,-0.3369
227,GISTEMP,1903,-0.35
228,GCAG,1902,-0.2463
229,GISTEMP,1902,-0.27
230,GCAG,1901,-0.1417
231,GISTEMP,1901,-0.15
232,GCAG,1900,-0.0679
233,GISTEMP,1900,-0.09
234,GCAG,1899,-0.1173
235,GISTEMP,1899,-0.16
236,GCAG,1898,-0.2546
237,GISTEMP,1898,-0.28
238,GCAG,1897,-0.1224
239,GISTEMP,1897,-0.11
240,GCAG,1896,-0.0974
241,GISTEMP,1896,-0.15
242,GCAG,1895,-0.229
243,GISTEMP,1895,-0.21
244,GCAG,1894,-0.2808
245,GISTEMP,1894,-0.31
246,GCAG,1893,-0.3212
247,GISTEMP,1893,-0.3
248,GCAG,1892,-0.3062
249,GISTEMP,1892,-0.27
250,GCAG,1891,-0.2532
251,GISTEMP,1891,-0.24
252,GCAG,1890,-0.322
253,GISTEMP,1890,-0.37
254,GCAG,1889,-0.0982
255,GISTEMP,1889,-0.12
256,GCAG,1888,-0.1471
257,GISTEMP,1888,-0.2
258,GCAG,1887,-0.2489
259,GISTEMP,1887,-0.33
260,GCAG,1886,-0.2003
261,GISTEMP,1886,-0.31
262,GCAG,1885,-0.2125
263,GISTEMP,1885,-0.32
264,GCAG,1884,-0.2009
265,GISTEMP,1884,-0.28
266,GCAG,1883,-0.1424
267,GISTEMP,1883,-0.21
268,GCAG,1882,-0.0648
269,GISTEMP,1882,-0.1
270,GCAG,1881,-0.0628
271,GISTEMP,1881,-0.12
272,GCAG,1880,-0.1148
273,GISTEMP,1880,-0.2
